Index,Version ,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price (CAD),Total Price (CAD)
1,All,1,1597-1083-ND,110990037,GROVE 2MM 4PIN R/A CONN 10PACK,,0,2.05,
2,All,1,INA122PA-ND,INA122PA,IC OPAMP INSTR 120KHZ 8DIP,,0,8.63,
3,All,1,S5479-ND,PPPC041LGBN-RC,"CONN FEMALE 4POS .100"" R/A GOLD",,0,1.02,
4,All,2,CP-3536N-ND,MJ-3536N,CONN JACK MONO 3.5MM R/A,,0,0.94,
5,All,1,S7045-ND,PPPC121LFBN-RC,"CONN HEADER FMALE 12POS .1"" GOLD",,0,1.36,
6,All,1,S7049-ND,PPPC161LFBN-RC,"CONN HEADER FMALE 16POS .1"" GOLD",,0,1.7,
7,All,1,2.4KQBK-ND,CFR-25JB-52-2K4,RES 2.4K OHM 1/4W 5% AXIAL,,0,0.09,
8,All,1,67-1327-ND,SSL-LX3059IGW,LED GRN/RED DIFF 3MM ROUND T/H,,0,0.8,
9,All,2,CF14JT300RCT-ND,CF14JT300R,RES 300 OHM 1/4W 5% AXIAL,,0,0.06,
10,All,1,BC1160CT-ND,K104Z15Y5VF5TL2,CAP CER 0.1UF 50V Y5V RADIAL,,0,0.179,
11,All,1,  1528-1517-ND ,2829,ADAFRUIT FEATHER 32U4 BLUEFRUIT ,,0,40.2,
12,All ,1,1568-1493-ND ,PRT-13851,BATTERY LITHIUM 3.7V 400MAH ,,0,6.17,64.199
13,Sip-and-Puff,1,MPX12GP-ND,MPX12GP,SENSOR GAUGE PRESS 1.45PSI MAX,,0,14.33,
14,Sip-and-Puff,2,H762-ND ,MHNZ 003 ,"HEX NUT 0.217"" M3 ",,0,0.0546,
15,Sip-and-Puff,2,RP809-ND ,NMS-308,MACHINE SCREW PAN PHILLIPS M3 ,,0,0.49,79.6182
16,Braille & Developer,1,1597-1089-ND,110990027,GROVE 4PIN CABLES 5PACK 20CM,,0,3.97,
17,Braille,6,679-2428-ND,MJTP1230,SWITCH TACTILE SPST-NO 0.05A 12V,,0,0.16,
,,,,,,,,Subtotal,84.5482
